rect,N,M,S_est,abs_err,rel_err
tight,61600,48459,0.78667207792207793915,0.15784510797792206116,0.16711724289856785819
tight,62100,48785,0.78558776167471822127,0.15892942422528177904,0.16826525403435940720
tight,62600,49031,0.78324281150159746900,0.16127437439840253131,0.17074795123471403491
tight,63100,49609,0.78619651347068142400,0.15832067242931857631,0.16762074294970069621
tight,63600,49855,0.78388364779874208921,0.16063353810125791110,0.17006947094159582945
tight,64100,50380,0.78595943837753512451,0.15855774752246487580,0.16787174430434562145
tight,64600,50733,0.78534055727554175075,0.15917662862445824956,0.16852697971057453707
tight,65100,51124,0.78531490015360982948,0.15920228574639017083,0.16855414398277088206
tight,65600,51488,0.78487804878048783586,0.15963913711951216445,0.16901665687257683146
tight,66100,51858,0.78453857791225412033,0.15997860798774587998,0.16937606893336454306
tight,66600,52350,0.78603603603603600103,0.15848114986396399928,0.16779064714735963948
tight,67100,52650,0.78464977645305511444,0.15986740944694488586,0.16925833836957915324
tight,67600,53085,0.78528106508875739067,0.15923612081124260964,0.16858996658648581213
tight,68100,53430,0.78458149779735686380,0.15993568810264313651,0.16933062784902697118
tight,68600,53889,0.78555393586005828332,0.15896325003994171698,0.16830106684450718557
tight,69100,54347,0.78649782923299560444,0.15801935666700439587,0.16730172730148137883
tight,69600,54711,0.78607758620689660578,0.15843959969310339453,0.16774665623699733241
tight,70100,55111,0.78617689015691871735,0.15834029574308128296,0.16764151897586057616
tight,70600,55580,0.78725212464589233718,0.15726506125410766312,0.16650312307896744657
tight,71100,55884,0.78599156118143465033,0.15852562471856534998,0.16783773454319031448
tight,71600,56138,0.78405027932960891235,0.16046690657039108796,0.16989305114388927875
tight,72100,56522,0.78393897364771147895,0.16057821225228852136,0.17001089514245176781
tight,72600,57167,0.78742424242424247094,0.15709294347575752937,0.16632089476071176826
tight,73100,57280,0.78358413132694937353,0.16093305457305062678,0.17038658160539738029
tight,73600,57781,0.78506793478260872288,0.15944925111739127743,0.16881561658982119356
tight,74100,58080,0.78380566801619433459,0.16071151788380566572,0.17015203141133830589
tight,74600,58813,0.78837801608579083368,0.15613916981420916663,0.16531109454131232006
tight,75100,58889,0.78414114513981358900,0.16037604076018641130,0.16979684769565017710
tight,75600,59323,0.78469576719576716872,0.15982141870423283159,0.16920964603936153314
tight,76100,59699,0.78448094612352170518,0.16003623977647829513,0.16943708612774993627
tight,76600,60166,0.78545691906005221661,0.15906026683994778370,0.16840378260389660126
tight,77100,60617,0.78621271076523990828,0.15830447513476009203,0.16760359419391279712
tight,77600,60968,0.78567010309278351166,0.15884708280721648865,0.16817807571797246946
tight,78100,61354,0.78558258642765688151,0.15893459947234311880,0.16827073328570454902
tight,78600,61497,0.78240458015267178027,0.16211260574732822004,0.17163542195672842894
tight,79100,62222,0.78662452591656129020,0.15789265998343871011,0.16716758820326585444
